,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
0,0,0,0,0,0,0,0,0,0,2018-03-27,10.84,11.11,10.82,10.95,6968177.0,0.0,1.0,10.84,11.11,10.82,10.95,6968177.0,-1038766.5477173956,0.0,0.0,-0.1034482758620732,0.0,0.0,101399.52253392953,1000.0,0.30696224489795915,11.050563491861038,10.739436508138962,10.95,0.0,0.0,10.96,11.25,10.670000000000002,0.0,0.0,10.95,10.95,0.0,0.0,0.0,0.0,0.0,10.95,10.95,0.0,0.0,0.0,1.0,1.0,0.0,1.1673883004411951,1.0,0.0,-0.1694949494949487,15.722357041798155,15.722357041798155,0.0,10.965,10.965,10.823749999999995,10.88371212121212,4.0,4.0,0.0,50.0,100.0,100.0,51.4408338442672,44.82758620689634,44.82758620689634,-55.17241379310366,0.0,1.5722357041798138,0.0,0.0
1,1,1,1,1,1,1,1,1,1,2018-03-26,10.76,10.89,10.655,10.84,5714828.0,0.0,1.0,10.76,10.89,10.655,10.84,5714828.0,2562140.4013205646,-5714828.0,-2857414.0,0.2020136711544752,0.0,-7.915811289508662e-09,52146.93567421794,989.9543378995436,0.3061077988338192,11.050563491861038,10.739436508138962,10.895,0.0,0.0,10.8775,11.14,10.615,0.0,0.0,10.95,10.84,0.0,0.0,-0.0024679487179497532,-0.0013710826210831962,-0.0010968660968665568,10.890416666666665,10.892884615384617,0.0,0.0,0.0,1.0,1.0,0.0,-0.1523964146795123,1.95026000452182,-47.14045207910368,-0.11449494949494896,10.620555248437558,13.171456145117855,-2.5509008966803,10.8825,10.8825,10.823749999999995,10.88371212121212,4.0,8.0,-4.0,0.0,55.31629552521469,62.179743441735326,56.765062676910645,40.65934065934077,42.74346343311855,-59.34065934065924,0.0,-1.0045662100456545,-1.0096460251009631,-1.0045662100456545
2,2,2,2,2,2,2,2,2,2,2018-03-23,10.91,11.02,10.68,10.72,6507022.0,0.0,1.0,10.91,11.02,10.68,10.72,6507022.0,-1692971.7021276462,-6507022.0,-4073950.0,-0.12578500273498314,106065.64999999935,-1.9331699054253513e-09,-129442.6849247663,989.9543378995436,0.3085286703456892,11.066739119023163,10.606594214310167,10.836666666666664,0.0,0.0,10.853888888888893,11.142222222222225,10.565555555555557,0.0,0.0,10.95,10.72,0.0,0.0,-0.006865849341592067,-0.0036230361950622407,-0.003242813146529827,10.823903002309468,10.83076885165106,0.0,0.0,0.0,1.0,1.0,0.0,-0.17159465378397454,2.99107802268536,-34.189317568637,-0.05616161616161541,5.209553346388435,10.517488545541383,-5.307935199152948,10.8825,10.8825,10.823749999999995,10.88371212121212,4.0,12.0,-8.0,0.0,36.64962316701968,36.11116544010352,40.90171231083428,14.285714285714564,33.25754705065055,-85.71428571428544,0.0,-1.1070110701106972,-1.113184036884407,-2.100456621004554
3,3,3,3,3,3,3,3,3,3,2018-03-22,10.8,11.035,10.69,10.82,7836563.0,0.0,1.0,10.8,11.035,10.69,10.82,7836563.0,-6906705.405797043,7836563.0,-1096321.75,-0.16075150451745768,-42434.699999999095,-1.1053449285160488e-09,1068.8129165062421,989.9543378995436,0.3111337653209972,11.021091268797539,10.643908731202457,10.8325,0.0,0.0,10.8525,11.155,10.55,0.0,0.0,10.95,10.72,0.0,0.0,-0.00508737431221995,-0.00411908569274439,-0.0009682886194755588,10.822670977011494,10.827758351323713,0.0,0.0,0.0,1.0,1.0,0.0,-0.13473295854904316,4.057606056533779,-3.6921741647309374,-0.05199494949494898,4.823053210527789,9.093879711787984,-4.2708265012601965,10.8825,10.8825,10.823749999999995,10.88371212121212,4.0,12.0,-8.0,34.889130097689616,55.00588218856522,28.980044110233816,40.053224313483604,36.26373626373646,30.402930402930593,-63.736263736263545,0.0,0.9328358208955168,0.928511777567964,-1.1872146118721338
4,4,4,4,4,4,4,4,4,4,2018-03-21,10.72,10.95,10.67,10.8,5630944.0,0.0,1.0,10.72,10.95,10.67,10.8,5630944.0,-2332957.691511319,-5630944.0,-2003246.2,-0.1453500833893557,-70086.24000000006,-1.4816523738947526e-09,62693.86753041628,988.1244777555518,0.3089099249409259,10.991891530826619,10.660108469173382,10.825999999999999,0.0,0.0,10.843333333333335,11.141333333333336,10.545333333333332,0.0,0.0,10.95,10.72,0.0,0.0,-0.00480972157666848,-0.004324534254121143,-0.0004851873225473367,10.816511353583012,10.82132107515968,0.0,0.0,0.0,1.0,1.0,0.0,-0.10878987498984,5.082344759391567,-35.7883287152465,-0.04549494949494815,4.220112998585182,8.119126369147422,-3.8990133705622414,10.8825,10.8825,10.823749999999995,10.88371212121212,4.0,12.0,-8.0,32.289401348979524,45.55710862866918,24.272851364571014,41.17628368073224,31.868131868132163,27.472527472527734,-68.13186813186785,0.0,-0.1848428835489746,-0.18501392881615786,-1.3698630136986134
5,5,5,5,5,5,5,5,5,5,2018-03-20,10.8,10.86,10.63,10.71,6314668.0,0.0,1.0,10.8,10.86,10.63,10.71,6314668.0,-2324065.763975082,-6314668.0,-2721816.5,-0.17111249624672373,167408.44999999914,-1.6588226437313475e-09,-63030.63259396148,988.1244777555518,0.3032735017308597,10.982696967088682,10.630636366244648,10.806666666666667,0.0,0.0,10.825,11.111666666666665,10.538333333333332,0.0,0.0,10.95,10.71,0.0,0.0,-0.008400860549391709,-0.005429445319497196,-0.002971415229894513,10.790623491120849,10.79902435167024,0.0,0.0,0.0,1.0,1.0,0.0,-0.09986640386813213,6.0521516456738205,-80.59873444194722,-0.026161616161616053,2.42675236819176,7.1703973689881435,-4.743645000796387,10.87,10.87,10.823749999999995,10.88371212121212,4.0,24.0,-20.0,23.281714562811988,38.24061003296301,18.139456096825143,40.36806750680082,16.66666666666673,28.26617826617845,-83.33333333333326,-0.026166666666666668,-0.8333333333333304,-0.8368249670516636,-2.191780821917799
6,6,6,6,6,6,6,6,6,6,2018-03-19,10.88,10.9,10.7,10.77,5638418.0,0.0,1.0,10.88,10.9,10.7,10.77,5638418.0,-3613380.878260845,5638418.0,-1527497.2857142857,-0.1874028240013603,-224.2200000000085,-1.057201897947027e-09,-21034.45742296977,993.6601891155267,0.2958968230357984,10.964494436006284,10.63836270685086,10.801428571428573,0.0,0.0,10.820000000000002,11.094285714285713,10.545714285714283,0.0,0.0,10.95,10.71,0.0,0.0,-0.007841089950618496,-0.006039768238809651,-0.0018013217118088454,10.786021431233321,10.793862521183936,0.0,0.0,0.0,1.0,1.0,0.0,-0.09011321683941964,6.9743208251964415,-28.38167188345218,-0.02092352092352101,1.9408664831097848,6.42332152814838,-4.482455045038595,10.87,10.87,10.823749999999995,10.88371212121212,4.0,24.0,-20.0,36.836075257813604,46.02200506543042,15.27998192637012,39.83644275496439,29.166666666666497,25.900488400488467,-70.8333333333335,-0.015785714285714292,0.5602240896358524,0.5586606708639863,-1.6438356164383494
7,7,7,7,7,7,7,7,7,7,2018-03-16,10.73,10.91,10.7,10.84,6991989.0,0.0,1.0,10.73,10.91,10.7,10.84,6991989.0,639137.599999995,6991989.0,-462561.5,-0.11684473489415165,88051.72999999931,-8.847199323876926e-10,77032.45836161714,993.6601891155267,0.2897613356760986,10.959663540099022,10.652836459900977,10.80625,0.0,0.0,10.819583333333336,11.085833333333332,10.553333333333333,0.0,0.0,10.95,10.71,0.0,0.0,-0.004010485673168418,-0.0055520934776189575,0.0015416078044505393,10.797285926557514,10.801296412230684,0.0,0.0,0.0,1.0,1.0,0.0,-0.07659925598544827,7.879425124251858,-2.979930035538357,-0.025744949494949758,2.3881023546056803,5.918919131455543,-3.530816776849862,10.87,10.87,10.823749999999995,10.88371212121212,4.0,24.0,-20.0,48.97223746323576,53.3315932443769,14.470667745245027,41.46411130217733,43.749999999999936,29.86111111111105,-56.250000000000064,-0.021750000000000824,0.6499535747446661,0.6478504843202781,-1.0045662100456545
8,8,8,8,8,8,8,8,8,8,2018-03-15,10.69,10.765,10.49,10.69,8913629.0,0.0,1.0,10.69,10.765,10.49,10.69,8913629.0,6382312.545454483,-8913629.0,-1401569.0,-0.032682858161095216,-262016.88000000024,-1.4586505216262468e-09,-77898.89227199387,993.6601891155267,0.2940640974135201,10.956428397636332,10.630238269030333,10.793333333333333,0.0,0.0,10.800555555555556,11.067777777777774,10.533333333333333,0.0,0.0,10.95,10.69,0.0,0.0,-0.008738888995733163,-0.006288259052077429,-0.0024506299436557336,10.776060951659234,10.784799840654967,0.0,0.0,0.0,1.0,1.0,0.0,-0.0713263063186804,8.822349293576293,-121.43218780846,-0.012828282828282413,1.1899519334376474,5.3934783316757775,-4.203526398238129,10.8,10.8,10.823749999999995,10.88371212121212,4.0,36.0,-32.0,33.20004512073529,45.58455210356369,10.982065103351696,42.106241884854185,32.25806451612896,35.058243727598466,-67.74193548387105,-0.04666666666666508,-1.3837638376383743,-1.3934270974546248,-2.3744292237442903
9,9,9,9,9,9,9,9,9,9,2018-03-14,10.7,10.78,10.65,10.7,4288779.0,0.0,1.0,10.7,10.78,10.65,10.7,4288779.0,3061931.314685207,4288779.0,-832534.2,-0.04579216226062184,378449.40000000154,-1.0018815716267367e-09,-119331.62056047867,994.5897122110512,0.2823452333125543,10.948708496711278,10.619291503288725,10.784,0.0,0.0,10.7915,11.045,10.538,0.0,0.0,10.95,10.69,0.0,0.0,-0.01145085709449134,-0.007444980701983225,-0.004005876392508115,10.761647430880473,10.773098287974964,0.0,0.0,0.0,1.0,1.0,0.0,-0.06886950914153345,9.693073721029876,-64.81100512048913,-0.003494949494950106,0.3241916291097757,3.6825710635992897,-3.358379434489513,10.78125,10.8,10.823749999999995,10.88371212121212,4.0,36.0,-32.0,34.814949353924305,49.15856450510666,8.542791905638923,45.09109287337339,33.870967741935374,36.626344086021426,-66.12903225806463,-0.05674999999999919,0.093545369504211,0.09350164309065434,-2.283105022831056
