,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
0,0,0,0,0,0,0,0,0,0,0,0,2018-03-27,1572.4,1575.96,1482.32,1497.05,6793279.0,0.0,1.0,1572.4,1575.96,1482.32,1497.05,6793279.0,-4230084.109626729,0.0,0.0,-0.6853908586074327,0.0,0.0,913532.604935947,1000.0,37.179081632653066,1609.6248996031616,1443.2851003968383,1497.05,0.0,0.0,1518.4433333333334,1612.083333333333,1424.803333333333,0.0,0.0,1497.05,1497.05,0.0,0.0,0.0,0.0,0.0,1497.05,1497.05,0.0,0.0,0.0,1.0,1.0,0.0,6.990039297563236,1.0,0.0,-178.36919191919196,135.26335624675414,135.26335624675414,0.0,1529.14,1529.14,1348.8303535353537,1417.1884343434347,4.0,4.0,0.0,50.0,100.0,100.0,69.32903923890406,15.730457069628367,15.730457069628367,-84.26954293037163,0.0,13.526335624675422,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,2018-03-26,1530.0,1556.99,1499.25,1555.86,5547618.0,0.0,1.0,1530.0,1556.99,1499.25,1555.86,5547618.0,674427.4860383822,5547618.0,2773809.0,0.0546497945844927,0.0,-1.0616232047700284e-05,1136813.9271930677,1039.2839250526033,38.804861516035,1609.6248996031616,1443.2851003968383,1526.455,0.0,0.0,1527.905,1603.5949999999998,1452.215,0.0,0.0,1555.86,1497.05,0.0,0.0,1.319455128204936,0.7330306267805201,0.586424501424416,1528.9054166666665,1527.5859615384616,0.0,0.0,0.0,1.0,1.0,0.0,0.5959516926498818,1.8926329452368211,47.140452079103184,-207.77419191919202,157.56215654763642,146.41275639719532,11.149400150441123,1529.14,1529.14,1348.8303535353537,1417.1884343434347,8.0,4.0,4.0,100.0,100.0,100.0,74.76823532783304,78.53481418197339,47.13263562580089,-21.465185818026608,0.0,3.9283925052603363,3.853194240189151,3.9283925052603363
2,2,2,2,2,2,2,2,2,2,2,2,2018-03-23,1539.01,1549.02,1495.36,1495.56,7843966.0,0.0,1.0,1539.01,1549.02,1495.36,1495.56,7843966.0,-2455015.580981029,-7843966.0,-765449.3333333335,-0.3522970112579347,-1565523.6300000097,-2.559146503377726e-05,-86074.03106039946,1039.2839250526033,40.35451426488963,1584.9409972466276,1447.3723360867057,1516.1566666666665,0.0,0.0,1523.0411111111111,1591.3877777777775,1454.6944444444446,0.0,0.0,1555.86,1495.56,0.0,0.0,-0.1886516640356604,0.3552919830033969,-0.5439436470390573,1515.8906928406464,1516.079344504682,0.0,0.0,0.0,1.0,1.0,0.0,0.2172070621414406,2.7592670731809443,-51.190705179673614,-197.47585858585853,149.75258407928342,147.52603229122462,2.2265517880587424,1529.14,1529.14,1348.8303535353537,1417.1884343434347,8.0,12.0,-4.0,45.80684589252439,61.352287819579814,88.40728052268291,62.84541452952594,14.139256727894056,36.13484265983194,-85.86074327210595,0.0,-3.8756700474335664,-3.952772877106181,-0.09952907384522812
3,3,3,3,3,3,3,3,3,3,3,3,2018-03-22,1565.47,1573.85,1542.4,1544.1,6177737.0,0.0,1.0,1565.47,1573.85,1542.4,1544.1,6177737.0,-13295367.93412986,6177737.0,970347.25,-0.4787441469389013,-7410199.439999994,4.391905262144004e-05,-103501.17648251461,1073.0149968397957,43.06419181739751,1585.8722321849853,1460.4127678150146,1523.1425,0.0,0.0,1530.6433333333332,1589.7658333333331,1471.520833333333,0.0,0.0,1555.86,1495.56,0.0,0.0,0.8825733878527444,0.533910345079734,0.3486630427730104,1524.7952686781607,1523.912695290308,0.0,0.0,0.0,1.0,1.0,0.0,0.1670181268830016,3.549906255135688,82.68023451290556,-204.46169191919202,155.05017640831747,149.40706832049784,5.643108087819628,1529.14,1529.14,1348.8303535353537,1417.1884343434347,8.0,12.0,-4.0,63.95186960684439,70.55308934895196,83.42142383846885,62.70031328005746,65.97607859888926,52.88338316958558,-34.023921401110734,0.0,3.24560699671026,3.1940497700531982,3.142847600280541
4,4,4,4,4,4,4,4,4,4,4,4,2018-03-21,1586.45,1590.0,1563.17,1581.86,4667291.0,0.0,1.0,1586.45,1590.0,1563.17,1581.86,4667291.0,-3674617.482024065,4667291.0,1709736.0,-0.3475901474992269,-274147052.4999999,5.946869378220257e-05,314640.7473360693,1099.2549076491157,43.266749544726274,1610.446970877828,1459.3250291221716,1534.886,0.0,0.0,1540.1833333333332,1592.8473333333332,1487.5193333333332,0.0,0.0,1581.86,1495.56,0.0,0.0,2.9486379684105937,1.2522372201781573,1.6964007482324368,1540.299552230287,1537.350914261876,0.0,0.0,0.0,1.0,1.0,0.0,0.19300441080757424,4.294907325230412,95.5630191191136,-216.205191919192,163.95566735657155,152.31678812771258,11.638879228858967,1536.16,1536.16,1348.8303535353537,1417.1884343434347,20.0,12.0,8.0,72.28204901172663,75.10287323084576,80.89242659585705,64.48959236660176,92.44056463595831,57.518633320913885,-7.559435364041692,0.0,2.445437471666345,2.416015350959544,5.665141444841515
5,5,5,5,5,5,5,5,5,5,5,5,2018-03-20,1550.34,1587.0,1545.41,1586.51,4507049.0,0.0,1.0,1550.34,1587.0,1545.41,1586.51,4507049.0,6236103.855823588,4507049.0,2175954.833333333,-0.17966759637346078,-70853878.08000013,2.841810982616476e-05,127384.50267473179,1102.4862525978267,43.14698172010295,1623.1408621422265,1463.839137857773,1543.4899999999998,0.0,0.0,1545.648333333333,1596.4666666666665,1494.83,0.0,0.0,1586.51,1495.56,0.0,0.0,4.33403510453013,2.0875757914852886,2.246459313044842,1551.5311221609506,1547.19708705642,0.0,0.0,0.0,1.0,1.0,0.0,0.21751237543893734,5.079233653362217,66.68938592736808,-224.80919191919185,170.4803698829715,155.3440517535891,15.136318129382431,1536.16,1536.16,1348.8303535353537,1417.1884343434347,24.0,12.0,12.0,73.16324101907205,78.32574152212803,79.29259196269504,67.11678643552196,96.75891530460623,85.05851951315127,-3.241084695393766,3.5175000000001546,0.29395774594465074,0.29352653500787085,5.97575231288201
6,6,6,6,6,6,6,6,6,6,6,6,2018-03-19,1554.53,1561.66,1525.35,1544.93,6376619.0,0.0,1.0,1554.53,1561.66,1525.35,1544.93,6376619.0,4901353.557428244,-6376619.0,954158.5714285716,-0.14039205862109427,-63125483.03999972,2.1385495800632245e-06,-153872.6091601258,1102.4862525978267,44.43362588295275,1616.4148184763305,1470.9766100950974,1543.695714285714,0.0,0.0,1545.41,1594.1557142857143,1496.6642857142856,0.0,0.0,1586.51,1495.56,0.0,0.0,3.2642074705950117,2.385349879791105,0.8788575908039058,1550.0581048462984,1546.7938973757034,0.0,0.0,0.0,1.0,1.0,0.0,0.20726773386116493,5.877327803863398,-3.821944640820493,-225.01490620490608,170.6363699433756,157.52866863784428,13.107701305531325,1536.16,1536.16,1348.8303535353537,1417.1884343434347,24.0,12.0,12.0,55.092331301677675,66.39081320958383,75.85470117536424,63.566253032428634,58.14450222882625,82.4479940564636,-41.85549777117377,7.054857142857145,-2.62084701640708,-2.6558033324425523,3.1982899702748924
7,7,7,7,7,7,7,7,7,7,7,7,2018-03-16,1583.45,1589.44,1567.5,1571.68,5145054.0,0.0,1.0,1583.45,1589.44,1567.5,1571.68,5145054.0,-2684080.9910182464,5145054.0,1478020.5,-0.19271536080517587,-9461614.149999954,2.313316879324766e-05,-78036.36055362716,1121.575471693185,44.439081177027546,1617.3663225316827,1477.0211774683166,1547.19375,0.0,0.0,1549.2595833333332,1594.6545833333334,1503.864583333333,0.0,0.0,1586.51,1495.56,0.0,0.0,3.766595959875758,2.7172892871737404,1.0493066727020175,1554.570261104311,1550.8036651444352,0.0,0.0,0.0,1.0,1.0,0.0,0.19960406523116234,6.63620435225621,70.36298351668371,-228.5129419191919,173.2890480538402,159.49871606484376,13.790331988996424,1536.16,1536.16,1348.8303535353537,1417.1884343434347,24.0,12.0,12.0,62.05030223206489,70.13876520733645,73.49885196920154,61.07742774837557,82.9866270430907,79.29668152550772,-17.013372956909294,14.285500000000185,1.731470034241034,1.7166509064492352,4.985137436959363
8,8,8,8,8,8,8,8,8,8,8,8,2018-03-15,1595.0,1596.91,1578.11,1582.32,4026744.0,0.0,1.0,1595.0,1596.91,1578.11,1582.32,4026744.0,-5407863.49156498,4026744.0,1761212.0,-0.22104561829159136,-87861826.2499997,2.551724918676174e-05,116345.42415493909,1129.1683423913012,43.06700395009701,1620.7891734374814,1481.4041598958524,1551.0966666666666,0.0,0.0,1553.3174074074075,1595.7574074074075,1510.8774074074072,0.0,0.0,1586.51,1495.56,0.0,0.0,4.585069307471258,3.1487557379669293,1.4363135695043288,1560.0601471536154,1555.4750778461444,0.0,0.0,0.0,1.0,1.0,0.0,0.19615773054724644,7.362535502824628,80.73425475111702,-232.41585858585862,176.24876100541255,161.3598321693514,14.888928836061153,1539.615,1539.615,1348.8303535353537,1417.1884343434347,24.0,12.0,12.0,64.56973215887632,72.54914639136227,71.75733505394237,56.32971125994033,87.26764988218856,76.13292638470182,-12.732350117811437,16.027222222222235,0.6769825918762074,0.6747013546594793,5.695868541464888
9,9,9,9,9,9,9,9,9,9,9,9,2018-03-14,1597.0,1606.44,1590.89,1591.0,4164395.0,0.0,1.0,1597.0,1606.44,1590.89,1591.0,4164395.0,-6328754.254895043,4164395.0,2001530.3,-0.2786921439607762,-18946331.87999994,2.7310129200222313e-05,50104.627980920144,1129.1683423913012,41.71364652509009,1625.4736761697284,1484.7003238302716,1555.0870000000002,0.0,0.0,1557.5966666666668,1597.3476666666668,1517.8456666666666,0.0,0.0,1591.0,1495.56,0.0,0.0,5.546065893008064,3.68589237635966,1.8601735166484028,1565.923237243405,1560.377171350397,0.0,0.0,0.0,1.0,1.0,0.0,0.1960532978115688,8.058349212342568,89.56205431537704,-236.406191919192,179.27476495487534,166.24998869247597,13.024776262399369,1547.64,1544.38,1348.8303535353537,1417.1884343434347,40.0,12.0,28.0,66.65359435057532,74.6768605848835,70.42429758449126,60.79591980641591,87.56042539477924,85.93823410668615,-12.439574605220786,16.019499999999653,0.5485616057434584,0.5470624864632789,6.275675495140454
