,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,volume_adi,volume_obv,volume_obvm,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-03-27,173.68,175.15,166.92,168.34,38962839.0,0.0,1.0,173.68,175.15,166.92,168.34,38962839.0,-26386948.66660656,0.0,0.0,-0.6549210206561329,0.0,0.0,-901429.705302662,1000.0,3.906875510204082,176.81996608131283,164.2900339186872,168.34,0.0,0.0,170.13666666666666,178.36666666666667,161.9066666666666,0.0,0.0,168.34,168.34,0.0,0.0,0.0,0.0,0.0,168.34,168.34,0.0,0.0,0.0,1.0,1.0,0.0,-2.1144122708852544,1.0,0.0,3.905575757575747,-22.67446197325025,-22.67446197325025,0.0,171.035,171.035,171.17354040404038,169.19308080808074,4.0,4.0,0.0,50.0,0.0,-100.0,17.253948967193352,17.253948967193352,17.253948967193352,-82.74605103280665,0.0,-2.2674461973250293,0.0,0.0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2018-03-26,168.07,173.1,166.44,172.77,36272617.0,0.0,1.0,168.07,173.1,166.44,172.77,36272617.0,7160451.047792919,36272617.0,18136308.5,0.0951738904565544,0.0,-2.3226611964612304e-07,71081.14135620861,1026.3157894736844,4.103527259475219,176.81996608131283,164.2900339186872,170.555,0.0,0.0,170.45333333333332,177.8983333333333,163.00833333333333,0.0,0.0,172.77,168.34,0.0,0.0,0.09939102564098334,0.055217236467212966,0.04417378917377038,170.73958333333331,170.64019230769233,0.0,0.0,0.0,1.0,1.0,0.0,0.39922027290448187,1.949950588160285,47.140452079103184,1.6905757575757434,-9.814915420266683,-16.244688696758466,6.429773276491782,170.79500000000004,170.79500000000004,171.17354040404038,169.19308080808074,8.0,4.0,4.0,100.0,48.304908469778994,-42.08805344986789,52.04835460040309,72.67508610792201,44.964517537557676,-27.324913892077994,0.0,2.6315789473684292,2.597548640326064,2.6315789473684292
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2018-03-23,168.39,169.92,164.94,164.94,40248954.0,0.0,1.0,168.39,169.92,164.94,164.94,40248954.0,-7570920.6666664975,-40248954.0,-1325445.666666667,-0.2865192189335953,-4372791.000000007,-2.6089707033622907e-07,-869554.8590718431,1026.3157894736844,4.369703883798418,176.53588281317315,160.83078385349347,168.68333333333334,0.0,0.0,169.16888888888892,175.79222222222222,162.54555555555555,0.0,0.0,172.77,164.94,0.0,0.0,-0.11616393700128926,-0.01502094938053383,-0.1011429876207554,168.47600461893762,168.5921685559389,0.0,0.0,0.0,1.0,1.0,0.0,0.04014098458192622,2.838099395582508,-76.21185746521971,3.562242424242413,-20.68118387700148,-17.723520423506137,-2.9576634534953428,170.04500000000004,170.04500000000004,171.17354040404038,169.19308080808074,8.0,12.0,-4.0,32.90105118829982,31.71873385726154,-43.65420786210184,34.11091549295783,0.0,29.976345025038448,-100.0,0.0,-4.532036811946528,-4.637945878148209,-2.019721991208268
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2018-03-22,170.0,172.68,168.6,168.845,41051076.0,0.0,1.0,170.0,172.68,168.6,168.845,41051076.0,-76369876.26470579,41051076.0,9268684.75,-0.442132496505699,-18755451.57500005,-6.758581208362396e-08,-852201.8631403093,1026.3157894736844,4.610439320669959,175.13736767387695,162.31013232612304,168.72375,0.0,0.0,169.38708333333332,175.37458333333333,163.39958333333334,0.0,0.0,172.77,164.94,0.0,0.0,-0.07036713884070878,-0.03376965854725976,-0.03659748029344902,168.59248204022987,168.66284917907058,0.0,0.0,0.0,1.0,1.0,0.0,-0.011024742231328979,3.68059259073732,23.13869943218916,3.5218257575757552,-20.446538275865407,-18.404274886595964,-2.0422633892694506,170.04500000000004,170.04500000000004,171.17354040404038,169.19308080808074,8.0,12.0,-4.0,51.59226985442964,49.698566170073725,-35.310408626285145,38.26329612606703,38.24681684622917,36.973967651383724,-61.75318315377083,0.0,2.367527585788776,2.3399362906191707,0.2999881192824017
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2018-03-21,175.04,175.09,171.26,171.27,35247358.0,0.0,1.0,175.04,175.09,171.26,171.27,35247358.0,-71184220.95400049,35247358.0,14464419.4,-0.5437020420148091,-31660102.68000007,1.81743129322158e-08,1478128.1473963659,1041.0560292763064,4.72719365490782,175.236130849815,163.22986915018504,169.233,0.0,0.0,170.01766666666666,175.57366666666667,164.46166666666667,0.0,0.0,172.77,164.94,0.0,0.0,0.05249589261714505,-0.00810760739173715,0.0606035000088822,169.31995410051272,169.26745820789557,0.0,0.0,0.0,1.0,1.0,0.0,0.0043967819837833575,4.501616887448841,77.93136341805997,3.012575757575746,-17.490003701550783,-18.221420649586925,0.7314169480361414,170.04500000000004,170.04500000000004,171.17354040404038,169.19308080808074,8.0,12.0,-4.0,59.64677343740154,59.08504340784032,-27.94414744399969,38.35989647187039,61.99804113614111,33.41495266079009,-38.00195886385889,0.0,1.4362284935887981,1.4260124332876598,1.7405251277177178
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2018-03-20,175.24,176.8,174.94,175.24,19314039.0,0.0,1.0,175.24,176.8,174.94,175.24,19314039.0,-48147002.52800417,19314039.0,15272689.333333336,-0.5559363363262785,-139008351.61500022,6.644677019741062e-08,953927.6699490338,1065.187473406784,4.784536965271548,177.50644943527973,162.96188389805357,170.23416666666662,0.0,0.0,170.95805555555555,175.89805555555554,166.01805555555555,0.0,0.0,175.24,164.94,0.0,0.0,0.29512601297591345,0.07408556319104609,0.22104044978486734,170.75883670654554,170.46371069356962,0.0,0.0,0.0,1.0,1.0,0.0,0.05021769650688605,5.24623022833466,104.31014062168556,2.0114090909090976,-11.67756606846032,-17.130778219399158,5.453212150938836,170.87,170.87,171.17354040404038,169.19308080808074,24.0,12.0,12.0,69.29689913110171,62.942716854094066,-19.81937673825923,42.737066414111574,86.84654300168634,62.36380032801888,-13.153456998313663,0.05699999999998795,2.3179774624861427,2.2915204301420458,4.098847570393249
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2018-03-19,177.32,177.47,173.66,175.3,32804695.0,0.0,1.0,177.32,177.47,173.66,175.3,32804695.0,-17647086.607738122,32804695.0,17777261.57142857,-0.4998729877587987,-9843931.890000002,4.946842797098453e-08,458926.9913394756,1065.187473406784,4.714927182037867,178.62180707558952,163.29390721012473,170.95785714285714,0.0,0.0,171.60357142857143,176.38214285714284,166.82500000000005,0.0,0.0,175.3,164.94,0.0,0.0,0.4483617311028354,0.16880487650993806,0.27955685459289736,171.7721814071619,171.3238196760591,0.0,0.0,0.0,1.0,1.0,0.0,0.08934782482246073,6.027145046591103,79.90373733679218,1.2877186147186137,-7.476062064612794,-15.751533054429677,8.275470989816881,171.20499999999996,171.20499999999996,171.17354040404038,169.19308080808074,28.000000000000004,12.0,16.000000000000004,69.424407367293,68.05338430124553,-14.697959971330512,42.76251493104579,82.68156424581015,77.17538279454588,-17.318435754189842,0.6095714285713996,0.03423875827437417,0.03423289814907804,4.134489723179291
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2018-03-16,178.65,179.12,177.62,178.02,36836456.0,0.0,1.0,178.65,179.12,177.62,178.02,36836456.0,-21753728.902361687,36836456.0,20159660.875,-0.4955158895473306,48712319.26000002,5.871880765563197e-08,582795.869567675,1065.187473406784,4.651003811892305,180.51715563894606,163.16409436105386,171.840625,0.0,0.0,172.43479166666665,176.80354166666663,168.06604166666668,0.0,0.0,178.02,164.94,0.0,0.0,0.6732646028126794,0.2900360351077425,0.3832285677049369,173.0760048491961,172.4027402463834,0.0,0.0,0.0,1.0,1.0,0.0,0.12852588840466894,6.747522303850548,101.94551731581673,0.4049507575757616,-2.3510081800050697,-14.0764674451266,11.725459265121527,172.03,172.03,171.17354040404038,169.19308080808074,32.0,12.0,20.0,74.88102449272944,72.39586856230576,-9.537987104629684,48.06875491205356,92.24259520451344,87.25690081733661,-7.757404795486558,1.9921250000000157,1.5516257843696482,1.5397111603596692,5.750267316145897
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2018-03-15,178.5,180.24,178.0701,178.65,22584565.0,0.0,1.0,178.5,180.24,178.0701,178.65,22584565.0,-27703581.35454129,22584565.0,20429094.666666668,-0.4932813854350727,-34237435.49999994,6.0807298549628e-08,651489.1035401386,1068.9570954056956,4.477360682471425,181.8966699358113,163.29777450863313,172.59722222222226,0.0,0.0,173.16278148148152,177.2872148148148,169.03834814814815,0.0,0.0,178.65,164.94,0.0,0.0,0.8500181975207113,0.4193946927109716,0.4306235048097397,174.17873948509015,173.32872128756938,0.0,0.0,0.0,1.0,1.0,0.0,0.16197771450499895,7.461763227949895,92.9770356147621,-0.3516464646464783,2.0415413464169188,-12.285577579399545,14.327118925816462,172.59,172.59,171.17354040404038,169.19308080808074,36.0,12.0,24.0,76.0245225091774,74.52745398567593,-5.4960642250221134,42.44812235065383,89.60784313725489,88.17733419585952,-10.392156862745113,2.9814488888889343,0.3538928210313319,0.3532680938633348,6.12450992039919
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2018-03-14,180.32,180.52,177.81,178.44,29075469.0,0.0,1.0,180.32,180.52,177.81,178.44,29075469.0,-26070220.47951095,-29075469.0,15478638.3,-0.4969354308244346,-3259614.5399999027,5.415397614481449e-08,45747.440846029924,1068.9570954056956,4.351120633723467,182.69601995636143,163.66698004363855,173.1815,0.0,0.0,173.73883666666663,177.7218266666667,169.75584666666668,0.0,0.0,178.65,164.94,0.0,0.0,0.952218693146108,0.5387781991992195,0.4134404939468883,174.9862466965505,174.0340280034044,0.0,0.0,0.0,1.0,1.0,0.0,0.18676930133841546,8.203941953347597,79.67442061533205,-0.9359242424242497,5.433662016036376,-9.162452691701027,14.596114707737405,172.73000000000005,172.73000000000005,171.17354040404038,169.19308080808074,36.0,12.0,24.0,74.71631810284698,67.79056872507968,-2.506179438010536,46.87525720036825,86.64955070603331,89.49999634926724,-13.350449293966696,3.60750500000006,-0.1175482787573512,-0.11761742093545635,5.999762385648099
